id,pool_size,source,stock,basis,psych_type,outcome,text
DM-004668,268,유튜브 댓글,슈카월드,,,,인터넷몰빵이 뭔소리임 ㅋㅋ 다 제조업인데
DM-000095,268,토론방 제목,삼성전자,,,,개인 매수세가 줄때 진입해야긋넹...
DM-001570,268,토론방 댓글,카카오,,,,니 추레라에  박혀 뒈지는거보고  사려고 ㅎㅎㅎㅎ ㅎㅆㅎ ㅎ
DM-002257,268,토론방 본문,알테오젠,,,,개잡주 힘이 떨어졌다 살 사람 다 샀냐
DM-001253,268,토론방 본문,LG에너지솔루션,,,,단일 종목 ETF 손보면 이것도 매수세 들어온다 분명 !!!ㅠ염두 해 두자
DM-001233,268,토론방 본문,SK하이닉스,,,,외인들 기관놈들 끝까지 눌러봐.. 개인이 버티면 지들도 주구장창 팔아서 걸국 주가만 내리고 물량확보는 못해서 곳간이 텅 빌때가 오겠지. 그때까지 버텨야지. 그때부턴 비싼 가격으로 사야겠지. 주가 조작 못하게 공매도랑 레버리지 금지해. 선물시장을 없애던가. 수십년 전부터 선물시장 통해서 현물까지 갖고 노는거 알았으면서. 외인이 주식시장 떡주무르듯이 하는거 뻔히 보면서 정부가 협조하는 건가? 우리가 대응할 능력이 될때 오픈하면 돼잖어. 이거 뭐 기관이 옛날 왜놈 앞잡이 같어. ​
DM-001828,268,토론방 댓글,에코프로비엠,,,,양심 없나? 너 돈벌려고 샀지. 회사보고 샀냐? 물론 회사는 봤겠지. 근대 그거 돈이 된다는 생각에 산거잖아. 양심 존나 없어요.
DM-003286,268,디시 본문,해외주식갤,,,,"미친거 아니냐 진짜 걍 적폐노 말이 안되네 오늘부터 슨피만 산다 ㅈ같네 진짜로 모두가 S&P500, QQQ로 주식판에 뛰어들어 엔비디아 테슬라 구글 메타 아마존 M7의 맛을보고 중소형 테마주 맛을 보게 되고, 레버리지라는걸 알게되고 급상승 종목을 보다 개잡주를 하게 되고 해주갤로 흘러들어와 졸업장을 쓰고 다시 S&P500으로 돌아가는 이 슬픈 여정 난 이 이야기를 무척 좋아한다."
DM-002124,268,토론방 본문,알테오젠,,,,32만 원~ 그 가격을 넘었다~ 내가 어제 우연히 만든 신호.. ((삶은 우연이자 사실은 필연의 나날들..)) ((의사 할아버지가 오늘까지는 운동 하지 말라고.. 그래서 등산을 포기하고 그냥 차트를 봤다..)) ((그러다가 우연이자 기연을 봤다..)) ((제발.. 언제나 통하는 수식이기를..)) ((오늘부터는 드디어 등산을 해도 된다.. 기쁘다.. 얼마나 기쁘면 여기 게시판 세상에서 이러고 있을까.. ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ)) ​ 32만 원의 화살표 신호를 넘었다.. ​ 한고비 넘었다.. ​ 하.. 갈 수 있다!!~~ 손실률 팍팍 줄었다.. 후.. ​ 어제라도 추매를 했으면 지금 본전일 수도.. 근데 돈이 별로 없다.. ​ 파동이 꺽이고 있다.. 갈 수 있다.. ​ #아~ 그리고 주봉에서도 추세전환 신호가 나온다!!~~ 좋은 징조!!~~ ​
DM-003885,268,유튜브 댓글,삼프로TV,,,,하. 배경광고 눈에 거슬리네. 주식대여서비스.... 주식 빌려주면 소액이지만 이자 받아 먹긴하지. 근데 주식 빌린 넘은?? 바로 공매도 때려서 주가하락에 이용해먹지.  주식 빌려준 개미한테  푼돈 쥐어주고 뒤통수 치는거지.  이런걸 모를일 없을건데...
DM-001154,268,토론방 본문,SK하이닉스,,,,코스닥 주주들은 참 좋겠네? 평소에 그렇게 삼전하닉 죽으라고 그래야 자기들이 산다고 저주를 퍼붓더니 ​ 원하는대로 삼전하닉 내려가고 본인들이 올라가니까 좋아? ​ 그럼 이제 우리도 코스닥 저주하면 되는건가? ​ 그리고 뭔 맨날 PER PER 거리던데 ​ PER 150배 넘어가는 애들이 오늘 10% 상승 보이고 ​ 대장주가 내려가는건 또 괜찮고? ​ 내가 왠만하면 코스닥 주주들 좋게보고 싶었는데 ​ 코스닥 게시판에서 글써놓은 꼬라지 보니까 나도 앞으로 저주해야겠다 싶다
DM-001238,268,토론방 본문,LG에너지솔루션,,,,지금 공매도 작업중 시원하게 보내주이소 주포형아 함 믿어봅시다 세탁기 많이 만들어서 수출 잘 하겠습니다 ㅋ
DM-003675,268,디시 본문,한국주식갤,,,,"한 가지 불안한 건 기관 주도 상승이라는 거.. 외인이랑 쌍끌이면 그게 최고일텐데 7월 31일 제외하면, 어제, 오늘 다 외인은 털고 기관이 야무지게 받으면서 올리고 있음 개인 매수세는 사실상 의미없고 즉 이 코스닥 상승랠리를 이어가냐 멈추느냐는 기관에게 달렸음 내일도 기관이 사면 오르고 내일 던지면 쉬어갈 듯"
DM-003401,268,디시 제목,미국주식갤,,,,어제 오라클 사라했을때 샀으면 벌써 10%네
DM-001741,268,토론방 본문,NAVER,,,,아빠! 우리는 왜 집이 없어요? 2026년에 반도체 불장때 옆집은 수익내서 집 샀다던데 아들아 아버지는 네이버에 쳐 물려있다가 반도체로 갈아탔는데 아직도 물려있단다 이놈아!
DM-001276,268,토론방 본문,LG에너지솔루션,,,,"<JP모건> ""삼전닉스 심각한 저평가상태, 지금이 저점매수 기회"", 한국증시 투자의견 상향조정 !!! 글로벌 투자회사 ""JP모건""이 SK하이닉스와 삼성전자가 실적대비 조정이 과도했으며 지금이 저점매수 기회라고 보고서를 냈다. ​ 1. SK하이닉스 적정주가 (250만원 ~ 470만원) ​ 1) 연간 매출 : 360조원 2) 연간 순이익 : 220조원 (2분기 영업이익 60조원) 3) 주식수 : 7.2억주 4) EPS(주당 순이익) : 31만원 5) 보수 PER 8배 적정주가 → 250만원 6) 정상 PER 10배 적정주가 → 310만원 7) AI 재평가 PER 12배 적정주가 → 380만원 8) AI 고성장 PER 15배 적정주가 → 470만원 ​ 2. 삼성전자 적정주가 (37만원 ~ 70만원) ​ 1) 연간 매출 : 730조원 2) 연간 순이익 : 310조원 (2분기 영업이익 89조원) 3) 주"
DM-002405,268,토론방 본문,한미반도체,,,,"여러분 제발~~~!! 20만원 중반 이상 물린 분들은 어쩔 수 없지만...신규 진입이나 애매한 분들은 제발 단타 치세요! ​ 반도체가 조정 받았다 해도 그동안 너무 올랐기에 쉽게 가지 못해요...지금처럼 변동성도 크고 널뛰기 할때는 욕심을 버리시고 단타치면서 수익을 올리는 것도 하나의 방법입니다! ​ 약 2주간 한미에서 천만원으로 3백만원 수익 보고 있는데, 분단위까진 아니지만 적당히 내리면 사고 적당히 오르면 파는게 수익이 좋아요ㅋ ​ 제가 글 올리면 누군 푼돈 벌어 머하냐고 조롱 열라 하지만 2주전 첫 진입 금액이 22만원인데 지금까지 뒀으면 3백 수익은 커녕 -10%로 백만원 손해입니다ㅋ ​ 다들 홧팅입니다ㅋ"
DM-001670,268,토론방 본문,NAVER,,,,"얘들아, 내가 오늘 23줄때 전량매도 한 이유 말해줄까 새겨들어라  개미가 25만원대에 바글바글한데 세력이 미쳣다고 다 탈출시켜주겟냐 본전오면 질려서 나갈꺼뻔한데 감질맛나게 23만정도선에서 희망고문하면서 단물 쪽쪽 빨아묵고(개미는 본전이 코앞이라 절대 못팜) 다시 지하실 가는거여,,, 한두번속냐 솔직히 얘들아, 오래된 주주라면 말안해도 속으로 끄덕끄덕 할테지 새겨들어라"
DM-003488,268,디시 본문,미국주식갤,,,,코스닥은 3일 연속 매수 사이드카였어!
DM-001962,268,토론방 본문,에코프로비엠,,,,최고점대비 70퍼 전고점대비 50퍼 빠졌는데 더 빠진다고 국내 증권사 전체가 일제히 매도하라고 쏟아내네 하루아침에 쓰레기 회사됨~ 에코야 기술력 좋다고 해주니 뭐 된거처럼 건방떨지 말고 발품 팔아다니며 원수진놈들이랑 좀 풀고 사업해라~ 이정도로 패는건 싫은정도가 아니라 겁나 싫다는거잔아~ 자꾸 바쁜애들 불러다 밥한끼 맥이며 하소연하지 말고~
DM-000372,268,토론방 제목,현대차,,,,극우들이 웃긴게 놀기는 이마트 정용진이랑 놀다가 돈은 현대차 와서 공매도 버는구나야
